date,type,value,threshold,condition
2020-06-08,TMAX,35.6,35.0,above
2020-01-16,TMIN,-22.7,-20.0,below
2020-02-13,TMIN,-23.8,-20.0,below
2020-02-14,TMIN,-24.3,-20.0,below
2020-02-20,TMIN,-21.0,-20.0,below
2020-12-25,TMIN,-20.5,-20.0,below
2020-03-28,PRCP,27.2,25.0,above
2020-05-17,PRCP,62.7,25.0,above
2020-06-18,PRCP,34.8,25.0,above
2020-06-29,PRCP,60.2,25.0,above
2020-08-10,PRCP,32.3,25.0,above
2020-06-08,TMAX,35.6,35.0,above
2020-01-16,TMIN,-22.7,-20.0,below
2020-02-13,TMIN,-23.8,-20.0,below
2020-02-14,TMIN,-24.3,-20.0,below
2020-02-20,TMIN,-21.0,-20.0,below
2020-12-25,TMIN,-20.5,-20.0,below
2020-03-28,PRCP,27.2,25.0,above
2020-05-17,PRCP,62.7,25.0,above
2020-06-18,PRCP,34.8,25.0,above
2020-06-29,PRCP,60.2,25.0,above
2020-08-10,PRCP,32.3,25.0,above
2020-06-08,TMAX,35.6,35.0,above
2020-01-16,TMIN,-22.7,-20.0,below
2020-02-13,TMIN,-23.8,-20.0,below
2020-02-14,TMIN,-24.3,-20.0,below
2020-02-20,TMIN,-21.0,-20.0,below
2020-12-25,TMIN,-20.5,-20.0,below
2020-03-28,PRCP,27.2,25.0,above
2020-05-17,PRCP,62.7,25.0,above
2020-06-18,PRCP,34.8,25.0,above
2020-06-29,PRCP,60.2,25.0,above
2020-08-10,PRCP,32.3,25.0,above
2020-06-08,TMAX,35.6,35.0,above
2020-01-16,TMIN,-22.7,-20.0,below
2020-02-13,TMIN,-23.8,-20.0,below
2020-02-14,TMIN,-24.3,-20.0,below
2020-02-20,TMIN,-21.0,-20.0,below
2020-12-25,TMIN,-20.5,-20.0,below
2020-03-28,PRCP,27.2,25.0,above
2020-05-17,PRCP,62.7,25.0,above
2020-06-18,PRCP,34.8,25.0,above
2020-06-29,PRCP,60.2,25.0,above
2020-08-10,PRCP,32.3,25.0,above
2020-06-08,TMAX,35.6,35.0,above
2020-01-16,TMIN,-22.7,-20.0,below
2020-02-13,TMIN,-23.8,-20.0,below
2020-02-14,TMIN,-24.3,-20.0,below
2020-02-20,TMIN,-21.0,-20.0,below
2020-12-25,TMIN,-20.5,-20.0,below
2020-03-28,PRCP,27.2,25.0,above
