date,type,value
2020-01-01,SNOW,0.0
2020-01-01,TMAX,2.2
2020-01-01,TMIN,-10.5
2020-01-01,PRCP,0.0
2020-01-01,SNWD,13.0
2020-01-02,SNOW,0.0
2020-01-02,TMAX,2.8
2020-01-02,TMIN,-0.5
2020-01-02,PRCP,0.0
2020-01-02,SNWD,13.0
2020-01-03,SNOW,0.0
2020-01-03,TMAX,2.2
2020-01-03,TMIN,-4.3
2020-01-03,PRCP,0.0
2020-01-03,SNWD,10.0
2020-01-04,SNOW,0.0
2020-01-04,TMAX,-1.0
2020-01-04,TMIN,-4.3
2020-01-04,PRCP,0.0
2020-01-04,SNWD,10.0
2020-01-05,SNOW,0.0
2020-01-05,TMAX,3.3
2020-01-05,TMIN,-4.3
2020-01-05,PRCP,0.3
2020-01-05,SNWD,10.0
2020-01-06,SNOW,0.0
2020-01-06,TMAX,2.2
2020-01-06,TMIN,-5.5
2020-01-06,PRCP,0.0
2020-01-06,SNWD,8.0
2020-01-07,SNOW,0.0
2020-01-07,TMAX,0.0
2020-01-07,TMIN,-14.9
2020-01-07,PRCP,0.0
2020-01-07,SNWD,8.0
2020-01-08,SNOW,0.0
2020-01-08,TMAX,-8.2
2020-01-08,TMIN,-17.1
2020-01-08,PRCP,0.0
2020-01-08,SNWD,8.0
2020-01-09,SNOW,0.0
2020-01-09,TMAX,2.2
2020-01-09,TMIN,-8.2
2020-01-09,PRCP,0.0
2020-01-09,SNWD,8.0
2020-01-10,SNOW,0.0
2020-01-10,TMAX,-4.3
2020-01-10,TMIN,-13.2
2020-01-10,PRCP,0.0
2020-01-10,SNWD,8.0
2020-01-11,SNOW,0.0
2020-01-11,TMAX,-8.8
2020-01-11,TMIN,-18.2
2020-01-11,PRCP,0.0
2020-01-11,SNWD,8.0
2020-01-12,SNOW,2.0
2020-01-12,TMAX,-6.6
2020-01-12,TMIN,-12.7
2020-01-12,PRCP,2.8
2020-01-12,SNWD,8.0
2020-01-13,SNOW,2.5
2020-01-13,TMAX,-2.1
2020-01-13,TMIN,-9.3
2020-01-13,PRCP,2.5
2020-01-13,SNWD,10.0
2020-01-14,SNOW,0.0
2020-01-14,TMAX,0.0
2020-01-14,TMIN,-8.2
2020-01-14,PRCP,0.3
2020-01-14,SNWD,13.0
2020-01-15,SNOW,0.0
2020-01-15,TMAX,-4.3
2020-01-15,TMIN,-18.8
2020-01-15,PRCP,0.3
2020-01-15,SNWD,13.0
2020-01-16,SNOW,0.0
2020-01-16,TMAX,-14.3
2020-01-16,TMIN,-22.7
2020-01-16,PRCP,0.0
2020-01-16,SNWD,13.0
2020-01-17,SNOW,11.9
2020-01-17,TMAX,-3.8
2020-01-17,TMIN,-18.2
2020-01-17,PRCP,8.9
2020-01-17,SNWD,13.0
2020-01-18,SNOW,0.5
2020-01-18,TMAX,-3.2
2020-01-18,TMIN,-17.7
2020-01-18,PRCP,1.5
2020-01-18,SNWD,23.0
2020-01-19,SNOW,1.3
2020-01-19,TMAX,-11.0
2020-01-19,TMIN,-17.7
2020-01-19,PRCP,0.3
2020-01-19,SNWD,20.0
2020-01-20,SNOW,1.0
2020-01-20,TMAX,-7.7
2020-01-20,TMIN,-16.6
2020-01-20,PRCP,0.8
2020-01-20,SNWD,20.0
2020-01-21,SNOW,0.0
2020-01-21,TMAX,-6.6
2020-01-21,TMIN,-18.8
2020-01-21,PRCP,0.0
2020-01-21,SNWD,20.0
2020-01-22,SNOW,1.5
2020-01-22,TMAX,2.8
2020-01-22,TMIN,-7.1
2020-01-22,PRCP,4.3
2020-01-22,SNWD,20.0
2020-01-23,SNOW,2.5
2020-01-23,TMAX,0.6
2020-01-23,TMIN,-1.0
2020-01-23,PRCP,1.5
2020-01-23,SNWD,20.0
2020-01-24,SNOW,0.0
2020-01-24,TMAX,0.0
2020-01-24,TMIN,-1.6
2020-01-24,PRCP,0.0
2020-01-24,SNWD,20.0
2020-01-25,SNOW,0.0
2020-01-25,TMAX,0.6
2020-01-25,TMIN,-2.7
2020-01-25,PRCP,0.0
2020-01-25,SNWD,18.0
2020-01-26,SNOW,0.0
2020-01-26,TMAX,-1.0
2020-01-26,TMIN,-3.8
2020-01-26,PRCP,0.0
2020-01-26,SNWD,18.0
2020-01-27,SNOW,0.0
2020-01-27,TMAX,-2.7
2020-01-27,TMIN,-6.0
2020-01-27,PRCP,0.0
2020-01-27,SNWD,18.0
2020-01-28,SNOW,0.0
2020-01-28,TMAX,-5.5
2020-01-28,TMIN,-7.7
2020-01-28,PRCP,0.0
2020-01-28,SNWD,18.0
2020-01-29,SNOW,0.0
2020-01-29,TMAX,-5.5
2020-01-29,TMIN,-7.7
2020-01-29,PRCP,0.0
2020-01-29,SNWD,18.0
2020-01-30,SNOW,0.0
2020-01-30,TMAX,-2.7
2020-01-30,TMIN,-7.7
2020-01-30,PRCP,0.0
2020-01-30,SNWD,18.0
2020-01-31,SNOW,1.5
2020-01-31,TMAX,1.1
2020-01-31,TMIN,-2.7
2020-01-31,PRCP,1.3
2020-01-31,SNWD,18.0
2020-02-01,SNOW,0.0
2020-02-01,TMAX,3.3
2020-02-01,TMIN,-2.7
2020-02-01,PRCP,0.0
2020-02-01,SNWD,18.0
2020-02-02,SNOW,0.0
2020-02-02,TMAX,7.8
2020-02-02,TMIN,-0.5
2020-02-02,PRCP,0.0
2020-02-02,SNWD,15.0
2020-02-03,SNOW,0.0
2020-02-03,TMAX,0.0
2020-02-03,TMIN,-6.6
2020-02-03,PRCP,0.0
2020-02-03,SNWD,13.0
2020-02-04,SNOW,0.0
2020-02-04,TMAX,-4.3
2020-02-04,TMIN,-12.1
2020-02-04,PRCP,0.0
2020-02-04,SNWD,13.0
2020-02-05,SNOW,0.0
2020-02-05,TMAX,-1.0
2020-02-05,TMIN,-11.6
2020-02-05,PRCP,0.0
2020-02-05,SNWD,13.0
2020-02-06,SNOW,0.0
2020-02-06,TMAX,0.0
2020-02-06,TMIN,-11.6
2020-02-06,PRCP,0.0
2020-02-06,SNWD,13.0
2020-02-07,SNOW,1.3
2020-02-07,TMAX,-1.0
2020-02-07,TMIN,-10.5
2020-02-07,PRCP,0.8
2020-02-07,SNWD,13.0
2020-02-08,SNOW,0.0
2020-02-08,TMAX,-6.6
2020-02-08,TMIN,-19.3
2020-02-08,PRCP,0.0
2020-02-08,SNWD,13.0
2020-02-09,SNOW,12.2
2020-02-09,TMAX,-2.7
2020-02-09,TMIN,-12.7
2020-02-09,PRCP,9.7
2020-02-09,SNWD,15.0
2020-02-10,SNOW,0.5
2020-02-10,TMAX,-1.0
2020-02-10,TMIN,-13.8
2020-02-10,PRCP,0.3
2020-02-10,SNWD,25.0
2020-02-11,SNOW,0.0
2020-02-11,TMAX,-1.0
2020-02-11,TMIN,-6.0
2020-02-11,PRCP,0.0
2020-02-11,SNWD,25.0
2020-02-12,SNOW,0.0
2020-02-12,TMAX,1.7
2020-02-12,TMIN,-17.7
2020-02-12,PRCP,0.0
2020-02-12,SNWD,25.0
2020-02-13,SNOW,0.0
2020-02-13,TMAX,-17.1
2020-02-13,TMIN,-23.8
2020-02-13,PRCP,0.0
2020-02-13,SNWD,23.0
2020-02-14,SNOW,0.0
2020-02-14,TMAX,-9.3
2020-02-14,TMIN,-24.3
2020-02-14,PRCP,0.0
2020-02-14,SNWD,23.0
2020-02-15,SNOW,0.0
2020-02-15,TMAX,2.2
2020-02-15,TMIN,-9.3
2020-02-15,PRCP,0.0
